Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1603177200.0,2020-10-20 07-AM,ETHUSD,378.48,378.62,378.14,378.46,97.31,36815.19
1603173600.0,2020-10-20 06-AM,ETHUSD,378.14,379.14,377.43,378.48,1257.83,475662.05
1603170000.0,2020-10-20 05-AM,ETHUSD,378.65,378.99,377.48,378.14,2078.69,786376.45
1603166400.0,2020-10-20 04-AM,ETHUSD,380.21,380.21,378.51,378.65,1745.49,662425.34
1603162800.0,2020-10-20 03-AM,ETHUSD,378.66,380.9,378.32,380.21,2202.65,836427.44
1603159200.0,2020-10-20 02-AM,ETHUSD,378.41,379.39,378.24,378.66,1582.65,599738.46
1603155600.0,2020-10-20 01-AM,ETHUSD,378.98,379.71,378,378.41,2068.24,783470.04
1603152000.0,2020-10-20 12-AM,ETHUSD,379.36,379.65,378.02,378.98,1757.1,665412.93
1603148400.0,2020-10-19 11-PM,ETHUSD,379.04,380.03,378.41,379.36,1644.5,623713.42
1603144800.0,2020-10-19 10-PM,ETHUSD,379.55,379.9,376.89,379.04,2354.94,891442.82
1603141200.0,2020-10-19 09-PM,ETHUSD,379.71,380.58,378.81,379.55,2990.39,1136224.38
1603137600.0,2020-10-19 08-PM,ETHUSD,379.57,380,378.34,379.71,1943.24,737308.53
1603134000.0,2020-10-19 07-PM,ETHUSD,378.74,379.99,378.61,379.57,3520.5,1335328.57
1603130400.0,2020-10-19 06-PM,ETHUSD,380.32,381.2,378.6,378.74,7082.45,2694547.27
1603126800.0,2020-10-19 05-PM,ETHUSD,382.43,382.93,380.3,380.32,4224.09,1612026.94
1603123200.0,2020-10-19 04-PM,ETHUSD,384.03,384.69,382.03,382.43,5272.95,2021433.13
1603119600.0,2020-10-19 03-PM,ETHUSD,379.58,384.31,379.2,384.03,11012.5,4215027.71
1603116000.0,2020-10-19 02-PM,ETHUSD,380.79,381.69,378.71,379.58,3824.19,1452943.73
1603112400.0,2020-10-19 01-PM,ETHUSD,376.88,381.49,376.87,380.79,7005.89,2659574.09
1603108800.0,2020-10-19 12-PM,ETHUSD,375.95,377.68,375.8,376.88,1662.05,626251.17
1603105200.0,2020-10-19 11-AM,ETHUSD,375.99,377.58,375.71,375.95,1558.06,586909.96
1603101600.0,2020-10-19 10-AM,ETHUSD,376.15,376.48,375.26,375.99,904.81,340191.16
1603098000.0,2020-10-19 09-AM,ETHUSD,375.51,376.34,375.12,376.15,1142.33,429206.11
1603094400.0,2020-10-19 08-AM,ETHUSD,374.93,375.83,374.32,375.51,740.06,277712.26
1603090800.0,2020-10-19 07-AM,ETHUSD,375.02,375.77,374.62,374.93,477.5,179133.75
1603087200.0,2020-10-19 06-AM,ETHUSD,374.23,375.69,373.64,375.02,1368.39,513024.84
1603083600.0,2020-10-19 05-AM,ETHUSD,373.82,375.49,373.36,374.23,1671.17,625275.63
1603080000.0,2020-10-19 04-AM,ETHUSD,373.12,374.25,372.95,373.82,1176.94,439927.56
1603076400.0,2020-10-19 03-AM,ETHUSD,375.61,375.95,372.89,373.12,1430.35,535116.57
1603072800.0,2020-10-19 02-AM,ETHUSD,375.03,376.03,374.71,375.61,1179.38,442784.37
1603069200.0,2020-10-19 01-AM,ETHUSD,375.59,376.19,374.85,375.03,1702.46,639716.21
1603065600.0,2020-10-19 12-AM,ETHUSD,378.58,379.94,373.7,375.59,4068.34,1534844.68
1603062000.0,2020-10-18 11-PM,ETHUSD,377.13,378.69,376.9,378.58,2452.71,927002.46
1603058400.0,2020-10-18 10-PM,ETHUSD,376.15,377.52,375.77,377.13,1463.07,550736.96
1603054800.0,2020-10-18 09-PM,ETHUSD,376,376.63,375.71,376.15,1532.72,576579.65
1603051200.0,2020-10-18 08-PM,ETHUSD,375.89,376.01,374.67,376,2276.16,854719.26
1603047600.0,2020-10-18 07-PM,ETHUSD,376.01,376.19,375.18,375.89,2084.17,783258.81
1603044000.0,2020-10-18 06-PM,ETHUSD,376.41,377.05,376,376.01,1919.21,722643.47
1603040400.0,2020-10-18 05-PM,ETHUSD,375.84,376.41,375.23,376.41,1468.33,551718.2
